-0,333333	-0,800000	-0,666667	-4,000000	0,166667
-0,666667	-0,100000	-3,000000	-1,000000	2,000000	
0,000000	-0,142857	-2,000000	0,142857	1,333333	
-2,000000	-1,000000	0,133333	-2,500000	-0,000000	
0,600000	-0,600000	-0,666667	-1,000000	0,800000	

0,600000	-2,000000	0,000000	-0,666667	-0,333333	
-0,600000	-1,000000	-0,142857	-0,100000	-0,800000	
-0,666667	0,133333	-2,000000	-3,000000	-0,666667	
-1,000000	-2,500000	0,142857	-1,000000	-4,000000	
0,800000	-0,000000	1,333333	2,000000	0,166667	

0,800000	-1,000000	-0,666667	-0,600000	0,600000	
-0,000000	-2,500000	0,133333	-1,000000	-2,000000	
1,333333	0,142857	-2,000000	-0,142857	0,000000	
2,000000	-1,000000	-3,000000	-0,100000	-0,666667	
0,166667	-4,000000	-0,666667	-0,800000	-0,333333	

4,000000	-0,000000	1,500000	-0,000000	-1,000000	
-0,500000	-1,250000	0,285714	-1,333333	-0,555556	
-0,500000	0,333333	0,000000	-0,000000	0,000000	
-0,000000	0,000000	-0,272727	-1,250000	0,000000	
-0,000000	2,000000	0,500000	1,666667	5,000000	

-0,000000	-0,000000	-0,500000	-0,500000	4,000000	
2,000000	0,000000	0,333333	-1,250000	-0,000000	
0,500000	-0,272727	0,000000	0,285714	1,500000	
1,666667	-1,250000	-0,000000	-1,333333	-0,000000	
5,000000	0,000000	0,000000	-0,555556	-1,000000	

5,000000	1,666667	0,500000	2,000000	-0,000000	
0,000000	-1,250000	-0,272727	0,000000	-0,000000	
0,000000	-0,000000	0,000000	0,333333	-0,500000	
-0,555556	-1,333333	0,285714	-1,250000	-0,500000	
-1,000000	-0,000000	1,500000	-0,000000	4,000000	

3,000000	-2,000000	-0,333333	0,000000	0,400000	
-1,000000	-2,000000	-1,000000	-0,285714	1,250000	
-0,500000	-0,000000	-1,000000	-0,333333	-1,000000	
-0,166667	0,500000	0,166667	-1,000000	-0,555556	
1,000000	0,375000	0,800000	-0,000000	-0,400000	

1,000000	-0,166667	-0,500000	-1,000000	3,000000	
0,375000	0,500000	-0,000000	-2,000000	-2,000000	
0,800000	0,166667	-1,000000	-1,000000	-0,333333	
-0,000000	-1,000000	-0,333333	-0,285714	0,000000	
-0,400000	-0,555556	-1,000000	1,250000	0,400000	

-0,400000	-0,000000	0,800000	0,375000	1,000000	
-0,555556	-1,000000	0,166667	0,500000	-0,166667	
-1,000000	-0,333333	-1,000000	-0,000000	-0,500000	
1,250000	-0,285714	-1,000000	-2,000000	-1,000000	
0,400000	0,000000	-0,333333	-2,000000	3,000000	

